index,carat,cut,color,clarity,depth,table,x,y,z,price
1,0.23,Ideal,E,SI2,61.5,55.0,3.95,3.98,2.43,Very Low
2,0.21,Premium,E,SI1,59.8,61.0,3.89,3.84,2.31,Very Low
3,0.23,Good,E,VS1,56.9,65.0,4.05,4.07,2.31,Very Low
4,0.29,Premium,I,VS2,62.4,58.0,4.2,4.23,2.63,Very Low
5,0.31,Good,J,SI2,63.3,58.0,4.34,4.35,2.75,Very Low
6,0.24,Very Good,J,VVS2,62.8,57.0,3.94,3.96,2.48,Very Low
7,0.24,Very Good,I,VVS1,62.3,57.0,3.95,3.98,2.47,Very Low
8,0.26,Very Good,H,SI1,61.9,55.0,4.07,4.11,2.53,Very Low
9,0.22,Fair,E,VS2,65.1,61.0,3.87,3.78,2.49,Very Low
10,0.23,Very Good,H,VS1,59.4,61.0,4.0,4.05,2.39,Very Low
11,0.3,Good,J,SI1,64.0,55.0,4.25,4.28,2.73,Very Low
12,0.23,Ideal,J,VS1,62.8,56.0,3.93,3.9,2.46,Very Low
13,0.22,Premium,F,SI1,60.4,61.0,3.88,3.84,2.33,Very Low
14,0.31,Ideal,J,SI2,62.2,54.0,4.35,4.37,2.71,Very Low
15,0.2,Premium,E,SI2,60.2,62.0,3.79,3.75,2.27,Very Low
16,0.32,Premium,E,I1,60.9,58.0,4.38,4.42,2.68,Very Low
17,0.3,Ideal,I,SI2,62.0,54.0,4.31,4.34,2.68,Very Low
18,0.3,Good,J,SI1,63.4,54.0,4.23,4.29,2.7,Very Low
19,0.3,Good,J,SI1,63.8,56.0,4.23,4.26,2.71,Very Low
20,0.3,Very Good,J,SI1,62.7,59.0,4.21,4.27,2.66,Very Low
21,0.3,Good,I,SI2,63.3,56.0,4.26,4.3,2.71,Very Low
22,0.23,Very Good,E,VS2,63.8,55.0,3.85,3.92,2.48,Very Low
23,0.23,Very Good,H,VS1,61.0,57.0,3.94,3.96,2.41,Very Low
24,0.31,Very Good,J,SI1,59.4,62.0,4.39,4.43,2.62,Very Low
25,0.31,Very Good,J,SI1,58.1,62.0,4.44,4.47,2.59,Very Low
26,0.23,Very Good,G,VVS2,60.4,58.0,3.97,4.01,2.41,Very Low
27,0.24,Premium,I,VS1,62.5,57.0,3.97,3.94,2.47,Very Low
28,0.3,Very Good,J,VS2,62.2,57.0,4.28,4.3,2.67,Very Low
29,0.23,Very Good,D,VS2,60.5,61.0,3.96,3.97,2.4,Very Low
30,0.23,Very Good,F,VS1,60.9,57.0,3.96,3.99,2.42,Very Low
31,0.23,Very Good,F,VS1,60.0,57.0,4.0,4.03,2.41,Very Low
32,0.23,Very Good,F,VS1,59.8,57.0,4.04,4.06,2.42,Very Low
33,0.23,Very Good,E,VS1,60.7,59.0,3.97,4.01,2.42,Very Low
34,0.23,Very Good,E,VS1,59.5,58.0,4.01,4.06,2.4,Very Low
35,0.23,Very Good,D,VS1,61.9,58.0,3.92,3.96,2.44,Very Low
36,0.23,Good,F,VS1,58.2,59.0,4.06,4.08,2.37,Very Low
37,0.23,Good,E,VS1,64.1,59.0,3.83,3.85,2.46,Very Low
38,0.31,Good,H,SI1,64.0,54.0,4.29,4.31,2.75,Very Low
39,0.26,Very Good,D,VS2,60.8,59.0,4.13,4.16,2.52,Very Low
40,0.33,Ideal,I,SI2,61.8,55.0,4.49,4.51,2.78,Very Low
41,0.33,Ideal,I,SI2,61.2,56.0,4.49,4.5,2.75,Very Low
42,0.33,Ideal,J,SI1,61.1,56.0,4.49,4.55,2.76,Very Low
43,0.26,Good,D,VS2,65.2,56.0,3.99,4.02,2.61,Very Low
44,0.26,Good,D,VS1,58.4,63.0,4.19,4.24,2.46,Very Low
45,0.32,Good,H,SI2,63.1,56.0,4.34,4.37,2.75,Very Low
46,0.29,Premium,F,SI1,62.4,58.0,4.24,4.26,2.65,Very Low
47,0.32,Very Good,H,SI2,61.8,55.0,4.35,4.42,2.71,Very Low
48,0.32,Good,H,SI2,63.8,56.0,4.36,4.38,2.79,Very Low
49,0.25,Very Good,E,VS2,63.3,60.0,4.0,4.03,2.54,Very Low
50,0.29,Very Good,H,SI2,60.7,60.0,4.33,4.37,2.64,Very Low
51,0.24,Very Good,F,SI1,60.9,61.0,4.02,4.03,2.45,Very Low
52,0.23,Ideal,G,VS1,61.9,54.0,3.93,3.95,2.44,Very Low
53,0.32,Ideal,I,SI1,60.9,55.0,4.45,4.48,2.72,Very Low
54,0.22,Premium,E,VS2,61.6,58.0,3.93,3.89,2.41,Very Low
55,0.22,Premium,D,VS2,59.3,62.0,3.91,3.88,2.31,Very Low
56,0.3,Ideal,I,SI2,61.0,59.0,4.3,4.33,2.63,Very Low
57,0.3,Premium,J,SI2,59.3,61.0,4.43,4.38,2.61,Very Low
58,0.3,Very Good,I,SI1,62.6,57.0,4.25,4.28,2.67,Very Low
59,0.3,Very Good,I,SI1,63.0,57.0,4.28,4.32,2.71,Very Low
60,0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,Very Low
61,0.35,Ideal,I,VS1,60.9,57.0,4.54,4.59,2.78,Very Low
62,0.3,Premium,D,SI1,62.6,59.0,4.23,4.27,2.66,Very Low
63,0.3,Ideal,D,SI1,62.5,57.0,4.29,4.32,2.69,Very Low
64,0.3,Ideal,D,SI1,62.1,56.0,4.3,4.33,2.68,Very Low
65,0.42,Premium,I,SI2,61.5,59.0,4.78,4.84,2.96,Very Low
